
################################################################################
#          IDS of CJK characters for Yuhao Input Method (Yuniversus)           #
#          URL: https://github.com/forFudan/ids                                #
#          Yuhao Input Method: https://shurufa.app                             #
#          Author: ZHU Yuhao (朱宇浩) <dr.yuhao.zhu@outlook.com>               #
#          Unicode Version: 16.0+                                            #
#          File Date: 2024-09-24                                               #
################################################################################
#
# The progressive Ideographic Sequence Sequence (IDS) of CJK characters in this 
# file is used to generate the divisons for Yuhao Input Method (Yuniversus)], 
# a shape-based Chinese input method, that is able to input all CJK characters, 
# radicals, strokes, Tangut, etc.
#
# There are multiple columns, showing variations of different sources. 
# The sources are listed as follows:
#
# - G (People's Republic of China)
# - T (Taipei Computer Association)
# - H (Hong Kong SAR, PRC)
# - J (Japan)
# - K (Republic of Korea)
# - V (Socialist Republic of Vietnam)
# - U (Unicode Technical Comittee)
# - S (SAṃgaṇikīkṛtaṃ Taiśotripiṭakaṃ, SAT)
# - B (United Kingdom)
# - M (Macau SAR, PRC)
# - P (Democratic People's Republic of Korea)
#
# The characters that are used in the IDS are from:
#
# - CJK and all extensions.
# - Strokes, radicals, and supplements.
# - [Roots of Yuhao IME (Yuniversus)](https://shurufa.app/docs/yuniversus.html).
#
# Due to special rules of Yuniversus that the order of strokes is prioritized, 
# the descriptive characters `⿺`, namely "surround bottom and left side", 
# is replaced by either `⿱` or `⿰`, for specific radicals, e.g, `辶𠃊`. 
# Please be careful in such situations:
#
# - `近 = ⿺辶斤` will be replaced by `⿱斤辶`.
# - `亾 = ⿺𠃊人` will be replaced by `⿱人𠃊`.
#
# You can very welcomed to use, distribute, or modify the IDS in this file. 
# Let us work together to pass the Chinese culture down to the next generations.
#
################################################################################
char,unicode,block,G,T,H,J,K,V,U,S,B,M,P
𲎰,323B0,CJK-J,,,,,,,⿻丅𠃍,,,,
𲎱,323B1,CJK-J,,,,,,,⿰乚,,,,
𲎲,323B2,CJK-J,,,,,,,,,⿱丆冂,,
𲎳,323B3,CJK-J,,,,,,,,,⿱三⿰三三,,
𲎴,323B4,CJK-J,,,,,,⿱况下,,,,,
𲎵,323B5,CJK-J,⿰右百,,,,,,,,,,
𲎶,323B6,CJK-J,⿰在乎,,,,,,,,,,
𲎷,323B7,CJK-J,⿰丢光,,,,,,,,,,
𲎸,323B8,CJK-J,⿰在男,,,,,,,,,,
𲎹,323B9,CJK-J,,,,,,⿰上鄧,,,,,
𲎺,323BA,CJK-J,⿱夭丨,,,,,,,,,,
𲎻,323BB,CJK-J,,,,,,⿰𭟯,,,,,
𲎼,323BC,CJK-J,,,,,,⿰谷中,,,,,
𲎽,323BD,CJK-J,⿰中朋,,,,,,,,,,
𲎾,323BE,CJK-J,,,,,,⿰串逐,,,,,
𲎿,323BF,CJK-J,,,,,,,,,⿰㐅也,,
𲏀,323C0,CJK-J,,,,,,,⿳丿中丶,,丿中丶,,
𲏁,323C1,CJK-J,,,,,,⿱乃卞,,,,,
𲏂,323C2,CJK-J,,,,,,⿰⿱一〣⿱厶亅,,,,,
𲏃,323C3,CJK-J,,,,,,,,,⿻千⿰仌仌,,
𲏄,323C4,CJK-J,,,,,,⿰类久,,,,,
𲏅,323C5,CJK-J,,,,,,⿳⺈囚⿻儿𰀁,,,,,
𲏆,323C6,CJK-J,,,,,,,,,⿻㇉丿,,
𲏇,323C7,CJK-J,,,,,,,,⿺乙⺀,,,
𲏈,323C8,CJK-J,,,,,⿱乙小,,,,,,
𲏉,323C9,CJK-J,,,,,⿱乙久,,,,,,
